horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,nam_rmse,nam_mae,nam_mbe,ols_endo_skill,ridge_endo_skill,lasso_endo_skill,ols_exo_skill,ridge_exo_skill,lasso_exo_skill
26h,122.65606067591042,97.7354615777718,0.2624785857973328,121.46833303903436,97.59868666751613,1.3997136862920976,120.7488555528974,97.04831071452259,1.8533970614360002,118.01119321141988,96.33775750220393,4.61997934668944,117.59545113474425,96.39796800018274,5.586691490794461,117.47200989621267,96.23679163306383,5.940611660296956,290.5626622598047,259.62699757142855,-175.23710885714286,0.5778670950975858,0.581954776658729,0.5844309292398671,0.5938528636349671,0.5952836809101196,0.5957085160818913
27h,201.19206497186332,157.37491112856432,15.304232427546742,198.25273834013524,156.90209796554458,15.07906219826698,195.7577831792618,155.3062379747118,14.963485997384499,179.70005769300545,141.88978189758285,15.886893991596718,178.40897934064623,141.37386875225943,15.691671959892496,178.3107577085256,141.18043787918063,13.123373599240065,277.45562624577946,234.68670065053763,-141.1669695860215,0.27486759704904784,0.2854614591072796,0.29445372642812073,0.3523286583714069,0.35698193705898906,0.35733594549431846
28h,243.48749490823477,195.8243106778192,-1.3837001545670489,239.6861257350774,193.62890110859314,0.8632279334338697,234.12785953402147,190.09222667074044,1.962652333219368,195.53510749282688,152.61445757192146,-2.7353127935019237,191.6444494735425,149.8475043278289,-0.5598926881503965,189.35431230728702,149.45337114555025,-0.6969385167509697,253.0743376239298,188.44556463898917,-103.3382674837545,0.037881528430358524,0.05290228955868048,0.07486526792006443,0.22736098282950612,0.2427345606320327,0.25178382729319315
29h,284.67460036886183,238.1937562039429,40.01530743090759,280.51264931677883,237.3245045089278,43.25999667672895,278.26759947854475,243.80442636326043,47.24476150142961,212.26266073015185,145.8037265048254,48.51815917254654,210.41948932727684,144.57432531997992,50.52732005227176,210.02198875607502,146.4730150591084,51.903043179183506,248.49306081367297,154.04585272271385,-87.21028165486726,-0.1456038226448455,-0.1288550609753849,-0.11982040290130103,0.14580044997991992,0.1532178458494049,0.15481749040245685
30h,305.01451883165737,256.5469486468945,36.66953647173293,299.8181468361316,254.5601514978393,40.153095599840015,295.6654175917593,254.61596851518746,40.52108917849202,214.76963746813027,148.3643972879594,41.23242465309143,206.9122054152406,142.95150021421648,43.72527483060012,202.1360381524858,142.27171482377346,44.5307568772864,232.74706464048464,136.16379813569324,-67.79069618879055,-0.31049781144523325,-0.28817154922769506,-0.2703293081202214,0.07724018861472393,0.11099972094234634,0.131520569487235
31h,321.6310715299674,263.5909834180932,26.100472107975396,316.1692440568537,261.0058241110138,29.724436940500286,310.70159389934315,259.5920375918793,30.381056925928263,226.16700195566952,156.303956534569,41.09927797716709,222.71149764273991,154.9105739908749,44.19644827370068,217.61918782780393,154.91540298463465,44.57009281146188,248.86201788889204,134.64991746902658,-46.74866371681416,-0.2924072313580779,-0.27046001932690245,-0.24848941005557657,0.09119517765605767,0.105080399443789,0.125542782004753
32h,322.4428048182791,260.76926512833995,15.21009586601477,318.41479054700125,259.842836708579,17.734103085510927,313.96926649235036,259.31374162877705,17.93341582313143,219.18581091690558,153.62411407992187,30.069521817898924,215.92563438371707,151.64238576151726,32.98231702821566,211.3275901530911,150.42603558867464,32.789938182662326,246.04113125810963,135.68913607669617,-48.69672606489675,-0.3105239890968483,-0.2941526846296605,-0.27608446964495803,0.10914971900788184,0.1224002536502723,0.14108836570338423
33h,317.3103962796866,257.60477502447,18.275074216501807,314.8106862010294,256.46787176334436,20.115901881716873,311.9527017612106,257.3789032703052,19.607676325872465,214.06666468338824,154.2175184215126,38.77148197131244,212.38345943792868,153.58193480113786,40.773418590445566,209.04877521207436,152.7029443158405,41.355266594250246,232.6818802779963,128.21154374041296,-38.3603123539823,-0.36370909458261425,-0.3529660574553972,-0.34068325985893555,0.08000285872010127,0.0872367922066648,0.10156830879003698
34h,323.46198609806606,259.68081408996755,1.1656928566345282,320.58253071350464,259.6064772309511,1.3501948864775728,317.33071833295054,260.14939742085994,0.7780880000880208,194.41681232988137,137.83655052190386,23.544095434366515,192.0269276661013,137.44065277736723,24.53382459654413,188.98715971189563,140.76387261771484,24.50604940594335,209.06833333174097,114.78955910324483,-39.56967686725663,-0.5471591557809474,-0.5333863603572022,-0.5178325348268946,0.07008005836355513,0.08151117576758538,0.09605076627258213
35h,312.77392742305904,256.35955673014104,-10.436950886790417,309.0128122839228,254.72085470516225,-9.79450046139869,307.4792693193976,258.7913599429633,-9.830791618246028,189.29213432882557,140.27718822494217,5.068706334661313,186.13948846840898,136.7265158807962,6.864042662914201,186.50005792319214,139.56927456329393,5.910462368011976,195.7186838662442,114.64367617699115,-29.67242680825959,-0.5980790451095175,-0.57886210033532,-0.571026655429236,0.03283564660495353,0.04894369412570598,0.04710140984471434
