horizon,ols_endo_rmse,ols_endo_mae,ols_endo_mbe,ridge_endo_rmse,ridge_endo_mae,ridge_endo_mbe,lasso_endo_rmse,lasso_endo_mae,lasso_endo_mbe,ols_exo_rmse,ols_exo_mae,ols_exo_mbe,ridge_exo_rmse,ridge_exo_mae,ridge_exo_mbe,lasso_exo_rmse,lasso_exo_mae,lasso_exo_mbe,nam_rmse,nam_mae,nam_mbe,ols_endo_skill,ridge_endo_skill,lasso_endo_skill,ols_exo_skill,ridge_exo_skill,lasso_exo_skill
26h,15.52664638958179,12.300636161538803,4.081828838702719,15.641315984029813,12.361370326520321,3.911387830610236,15.553786371491155,12.273408769741728,3.7748827508866287,15.668618945402168,12.96824633600004,5.498236574814054,15.840428331586354,13.087437515842351,5.290105276655882,15.745766982366705,13.025870364331562,5.139258227570975,83.06019971417635,75.22996189999999,-71.77162858571428,0.8130675528952314,0.8116869928334615,0.8127408021529654,0.8113582799063759,0.8092897875746043,0.8104294591567267
27h,42.20846639934365,26.988406266425407,-1.9837852799139755,42.148208304198526,26.88559401154718,-2.318974651347929,41.413120085051325,26.313895215537,-2.524620680043686,40.42704908430804,26.90996358684691,2.3258685798201877,40.34557279430187,27.0366994275567,1.7271689153487384,39.70942443050063,26.763204440367513,1.787489736454472,107.93310524467024,99.95181759677419,-91.60464876881721,0.608938644879506,0.6094969360081501,0.6163075268595933,0.6254434726707325,0.6261983503314972,0.6320922636249133
28h,72.04695895275383,48.23914096101276,-4.398772160263532,70.6047690594335,47.87619317722017,-4.109822734426489,69.9574178236369,47.79786927286677,-3.492722392294299,62.35092969299274,40.90849664623137,-4.242279537544938,62.01728917835994,40.62035884888028,-3.96372287922399,61.42379337132418,40.28099753878337,-3.3285943841319745,118.13534341094363,105.88600336462095,-91.84645872202165,0.390132056397953,0.4023400024002223,0.4078197446780665,0.472207656974426,0.47503187964140725,0.4800557428638744
29h,101.04439298466528,73.5612528395398,9.142427125395836,97.697370995516,72.32471160072377,9.38865026464725,95.3289870537117,73.7879996905352,13.023707946350884,78.71348986799084,56.86949582849357,0.593294867930872,76.66383222807765,54.77079326810178,1.3952567360103516,76.63501234304965,53.11317721159091,2.4926684812901887,126.20945059893265,110.97234835103244,-88.31996271091447,0.19939123017211036,0.2259108130818357,0.24467631701648584,0.3763264993671043,0.3925666274255535,0.3927949770847211
30h,132.8048228944104,99.64221977746338,13.157041504265706,128.30243191237736,97.26201249624472,14.459580562444714,126.32451117954461,99.24239983926006,17.45988277940969,99.53612623161162,70.05393006905975,3.8729958654612266,96.77250109963468,66.00220551595757,5.453889306251399,96.77294791611159,65.74854177495791,5.9342630327287385,135.69319623369282,113.64719251622418,-81.40726685840708,0.021286058693083088,0.0544667273411924,0.06904314522898636,0.2664619229678322,0.28682864148198217,0.28682534863835174
31h,161.41693540443404,121.07034428386183,11.59250977720483,154.87027055182182,116.521719356032,11.70459397741919,150.63907272632736,117.90459229354725,15.292345107546986,121.91285902104468,88.44875958024882,5.644482209716154,116.65412361483618,81.54100579271194,6.490703858382504,113.75301486473484,77.49051369834261,8.485545569031636,146.1339773314708,110.31968427138644,-64.17542782890855,-0.10458182519933357,-0.05978276496597901,-0.030828527883271173,0.1657459733370984,0.20173168659993734,0.22158407687274062
32h,173.29025802345203,123.2915578157229,5.089440875953619,167.5549398029397,120.10248564183532,6.183724250725074,163.8511727642076,120.43169450415819,8.95521572858156,125.15976062340108,88.64834167714741,-1.9502802757495838,121.10895203719414,83.36374803622073,0.8692256934097732,119.7724372583991,81.00132145382987,2.501369454573152,153.9501016142072,100.43436743362832,-44.48959144542773,-0.12562613604316075,-0.08837173893412364,-0.06431350837826733,0.1870108605900992,0.2133233380989359,0.22200481842783037
33h,170.80146233559054,125.11534753625081,8.272500876772696,165.74774037110637,122.75275079271863,8.47534171964726,162.6116009227593,124.01393843084817,11.797791705173019,120.57494314993241,84.72041871902917,5.62113944315713,117.12599046917362,79.7806058602904,7.300447024811718,116.77101363455398,77.34672200376417,8.05211270989775,139.12052991509626,76.85806430383482,-11.999802941002953,-0.22772291364781894,-0.19139670092013317,-0.1688540937990919,0.1333058950859518,0.1580970073888136,0.16064858503760693
34h,162.54920770755493,114.61715757248353,-4.450216823672428,159.7040266136771,112.82151507797707,-3.9190874968339986,156.00446741395405,113.40607638826218,-0.6651119809393843,111.6853592604709,80.7688118769749,-7.84563133449022,108.61220169485459,75.74737944104882,-5.852966199563807,106.70078183955953,73.22415491844467,-4.431294915652021,117.57580819848327,64.19577582890855,16.15881417699115,-0.382505552784725,-0.35830685802368367,-0.32684154848077407,0.05009915754156269,0.076236826614,0.09249374106419317
35h,138.94328818149003,100.0604689095142,-7.690516676495173,135.42150568258117,97.40034452501963,-7.89149469416709,133.7866223031867,97.7474208899494,-6.019644617232481,100.64111694095332,72.77245938761047,-14.56162940864564,96.37769021554028,67.1882675068183,-13.749896854115523,94.65031637389131,63.90616763623247,-12.637987928664073,102.76580251097194,72.2429645958702,40.51424387020649,-0.35203817599396015,-0.3177681911073744,-0.3018593640516045,0.0206750253304524,0.06216184897451282,0.07897068809650143
